[-90.19999999999945, -82.99999999999943, -93.19999999999945, -90.19999999999945, -82.99999999999943]
[-438.0, -400.59999999999974, -392.7999999999997, -416.7999999999998, -392.1999999999997]
[-276.7999999999997, -265.3999999999997, -268.3999999999997, -271.9999999999997, -271.9999999999997]
[-119.59999999999945, -108.19999999999942, -120.19999999999945, -116.59999999999943, -118.39999999999944]
[-170.19999999999948, -185.79999999999947, -173.79999999999944, -168.9999999999995, -173.79999999999944]
[-265.7999999999997, -272.39999999999975, -275.9999999999998, -274.1999999999997, -273.59999999999974]
[-270.99999999999966, -270.99999999999966, -270.99999999999966, -268.5999999999997, -267.39999999999964]
[-80.19999999999945, -87.39999999999947, -90.39999999999947, -78.39999999999944, -84.99999999999946]
[-135.59999999999968, -135.59999999999968, -139.19999999999968, -136.19999999999968, -137.39999999999966]
[-146.79999999999967, -152.19999999999968, -150.9999999999997, -153.3999999999997, -150.9999999999997]
